Movie Name,Time,Rating,Top 7 Cast,Music,War,Horror,TV Movie,Romance,Drama,History,Mystery,Fantasy,Crime,Comedy,Family,Animation,Thriller,Adventure,Science Fiction,Action
Venom: The Last Dance (2024),109,68, Eddie Brock / Venom; Chiwetel EjioforGeneral Rex Strickland; Juno TempleDr. Teddy Paine; Clark BackoSadie Christmas; Rhys IfansMartin Moon; Stephen GrahamDetective Mulligan; Peggy LuMrs. Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Moana 2 (2024),100,69,Auliʻi CravalhoMoana (voice); Maui (voice); Hualālai ChungMoni (voice); Rose MatafeoLoto (voice); David FaneKele (voice); Awhimai FraserMatangi (voice); Khaleesi Lambert-TsudaSimea (voice),0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Elevation (2024),91,65, Will; Morena BaccarinNina; Maddie HassonKatie; Danny Boyd Jr.Hunter; Rachel NicksTara; Shauna EarpHannah; Tyler GreyTim,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Absolution (2024),112,61, Thug; Ron PerlmanCharlie Conner; Yolonda RossWoman; Frankie ShawDaisy; Daniel DiemerKyle Conner; Javier MolinaGamberro; Jimmy GonzalesDiego Machado,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Red One (2024),124,70, Callum Drift; Chris EvansJack O'Malley; J.K. SimmonsNick; Lucy LiuZoe; Kiernan ShipkaGryla; Bonnie HuntMrs. Claus; Kristofer HivjuKrampus,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Armor (2024),89,55, Rook; Jason PatricJames Brody; Josh WigginsCasey Brody; Dash MihokSmoke; Erin OwnbeyTrisha Brody; Laney StiebingSara Brody; Jeff ChaseViper,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"Miraculous World, London: At the Edge of Time (2024)",50,85,Annouck HautboisMarinette / Ladybug / Bug Noire / Chronobug (voice); Benjamin BollenAdrien Agreste / Cat Noir / Félix Graham (voice); Marie NonnenmacherTikki (voice); Thierry KazazianPlagg (voice); Adeline ChetailAlix Kubdel / Bunnyx (voice); Clara SoaresLila Rossi / Cerise Bianca / Chrysalis (voice); Martial Le MinouxNooroo (voice),0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Watchmen: Chapter II (2024),89,76,Troy BakerAdrian Veidt / Ozymandias / Derf / Laurence Schexnayder / Gerald Grice / News Announcer (voice); Adrienne BarbeauSally Jupiter / Police Dispatcher (voice); Michael CerverisDr. Manhattan / Prison Guard #2 (voice); Zehra FazalHira Manish / Newscaster (voice); Phil FondacaroTom Ryan / Big Figure (voice); Grey DeLisleFemale Citizen #1 / Advisor #1 (voice); John Marshall JonesOtis / Malcolm Long / General #1 (voice),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
The Wild Robot (2024),102,84,Lupita Nyong'oRoz / Rummage (voice); Fink (voice); Brightbill (voice); Longneck (voice); Stephanie HsuVontra (voice); Matt BerryPaddler (voice); Ving RhamesThunderbolt (voice),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Gladiator II (2024),148,67,Paul MescalLucius Verus / Hanno; Denzel WashingtonMacrinus; General Acacius; Connie NielsenLucilla; Joseph QuinnEmperor Geta; Fred HechingerEmperor Caracalla; Lior RazViggo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
Kraven the Hunter (2024),127,56,Aaron Taylor-JohnsonSergei Kravinoff / Kraven; Ariana DeBoseCalypso Ezili / Calypso; Fred HechingerDimitri Smerdyakov / The Chameleon; Nikolai Kravinoff; Alessandro NivolaAleksei Sytsevich / The Rhino; Christopher AbbottThe Foreigner; Levi MillerYoung Sergei Kravinoff,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
GTMAX (2024),100,61,Ava BayaSoélie; Jalil LespertElyas; Jérémie LaheurteTheo; Thibaut ÉvrardLucas; Riadh BelaïcheMichael; Gérard LanvinDaniel; Samir DecazzaYacine,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Deadpool & Wolverine (2024),128,77, Wade Wilson / Deadpool / Nicepool; Logan / Wolverine; Cassandra Nova; Matthew MacfadyenMr. Paradox; Dafne KeenLaura / X-23; Happy Hogan; Morena BaccarinVanessa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Sidelined: The QB and Me (2024),99,64,Noah BeckDrayton Lahey; Siena AgudongDallas Bryan; Drew Ray TannerNathan Bryan; James Van Der BeekLeroy Lahey; Deborah CoxMiss Alicia; Asia LizardoGabby; Jake FoyMr. Justin Douglas,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Wicked (2024),160,76, Elphaba; Galinda; Jeff GoldblumThe Wonderful Wizard of Oz; Madame Morrible; Fiyero; Ethan SlaterBoq; Marissa BodeNessarose,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
The Substance (2024),141,72,Demi MooreElisabeth; Margaret QualleySue; Dennis QuaidHarvey; Edward Hamilton-ClarkFred; Gore AbramsOliver; Oscar LesageTroy; Christian EricksonMan at Diner,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Smile 2 (2024),127,66,Naomi ScottSkye Riley; Rosemarie DeWittElizabeth Riley; Lukas GageLewis; Miles Gutierrez-RileyJoshua; Morris; Ray NicholsonPaul Hudson; Dylan GelulaGemma,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Weekend in Taipei (2024),101,62,Luke EvansJohn Lawlor; Gwei Lun-meiJoey Kang; Sung KangKwang; Wyatt YangRaymond; Pernell WalkerCharlotte Fields; Zach IrelandAgent Simons; Patrick LeeBolo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Arena Wars (2024),96,54,Michael MadsenSamson; Eric RobertsAdmiral Jordan; Robert LaSardoPerez; John WellsLuke Bender; Kevin HagerBelladonna; BJ MezekBoggs; Mercedes PetersonDomino,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Heretic (2024),111,70,Sophie ThatcherSister Barnes; Chloe EastSister Paxton; Hugh GrantMr. Reed; Topher GraceElder Kennedy; Elle YoungProphet; Julie Lynn-MortensenPedestrian; Haylie HansenTeenager,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Terrifier 3 (2024),125,68,Lauren LaVeraSienna Shaw; David Howard ThorntonArt the Clown; Samantha ScaffidiVictoria Heyes; Elliott FullamJonathan Shaw; Margaret Anne FlorenceJessica; Bryce JohnsonGreg; Alexa Blair RobertsonMia,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pimpinero: Blood and Oil (2024),122,72,JuanesMoisés; Alejandro SpeitzerJuan; Alberto GuerraUlises; Laura OsmaDiana; ,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Alien: Romulus (2024),119,72,Cailee SpaenyRain; David JonssonAndy; Archie RenauxTyler; Isabela MercedKay; Spike FearnBjorn; Aileen WuNavarro; Rosie EdeWY Officer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Levels (2024),92,58,Cara GeeAsh; Peter MooneyJoe; Aaron AbramsHunter; David HewlettOliver; Amanda TappingMEL; Adam HurtigGeddes; Sydney SabistonMaxine,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Inside Out 2 (2024),97,76,Amy PoehlerJoy (voice); Maya HawkeAnxiety (voice); Kensington TallmanRiley (voice); Liza LapiraDisgust (voice); Tony HaleFear (voice); Lewis BlackAnger (voice); Phyllis SmithSadness (voice),0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
Hunting With Tigers (2024),109,62,Sofiane ZermaniAvi; Waël SersoubMalik; Géraldine NakacheIris; Cassandra CanoEstelle; Samir GuesmiAzzedine; Losene KeitaOusmane; Olivier MartinezAnge,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mufasa: The Lion King (2024),118,97,Aaron PierreMufasa (voice); Kelvin Harrison Jr.Taka (voice); Tiffany BooneSarabi (voice); Kagiso LedigaYoung Rafiki (voice); Preston NymanZazu (voice); Mads MikkelsenKiros (voice); Thandiwe NewtonEshe (voice),0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
Transformers One (2024),104,81, Orion Pax / Optimus Prime (voice); Brian Tyree HenryD-16 / Megatron (voice); Elita-1 (voice); Keegan-Michael KeyB-127 (voice); Jon HammSentinel Prime (voice); Steve BuscemiStarscream (voice); Laurence FishburneAlpha Trion (voice),0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Despicable Me 4 (2024),94,71,Steve CarellGru (voice); Kristen WiigLucy (voice); Will FerrellMaxime (voice); Sofía VergaraValentina (voice); Miranda CosgroveMargo (voice); Dana GaierEdith (voice); Madison PolanAgnes (voice),0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
The Moor (2024),120,45,Sophia La PortaClaire; David Edward-RobertsonBill; Elizabeth Dormer-PhillipsEleanor; Mark PeacheyAlex; Vicki HackettLiz; Bernard HillThornley; Dexter Sol AnsellDanny,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Solo Leveling -ReAwakening- (2024),116,81,Taito BanShun Mizushino (voice) (archive footage); Genta NakamuraKenta Morobishi (voice) (archive footage); Haruna MikawaAoi Mizushino (voice) (archive footage); Reina UedaShizuku Kousaka (voice) (archive footage); Daisuke HirakawaShin Mogami (voice) (archive footage); Hiroki TouchiTaiga Shirakawa (voice) (archive footage); Banjo GingaKiyoomi Goto (voice) (archive footage),0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Knox Goes Away (2024),114,69,Michael KeatonJohn Knox; Al PacinoXavier Crane; Marcia Gay HardenRuby Knox; Miles Knox; Detective Emily Ikari; Joanna KuligAnnie; Ray McKinnonThomas Muncie,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
My Fault (2023),117,79,Nicole WallaceNoah Morgan; Gabriel GuevaraNick Leister; Marta HazasRafaela; Iván SánchezWilliam Leister; Eva RuizJenna; Víctor VaronaLion; Fran BerenguerRonnie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Classified (2024),105,59,Aaron EckhartEvan Shaw; Tim RothKevin Angler; Abigail BreslinKacey Walker; Matt HookingsAntonio Griffin; Lucky AliLuca; Joe AzzopardiBarman; Kirsty BartoloTourist,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Sonic the Hedgehog 3 (2024),110,0,Ben SchwartzSonic (voice); Dr. Robotnik / Gerald Robotnik; Shadow (voice); Knuckles (voice); Colleen O'ShaughnesseyTails (voice); Krysten RitterDirector Rockwell; Tom Wachowski,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Arcadian (2024),92,61, Paul; Jaeden MartellJoseph; Maxwell JenkinsThomas; Sadie SoverallCharlotte; Samantha CoughlanMrs. Rose; Joel GillmanHobson; Joe DixonMr. Rose,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Cash Out (2024),90,64,John TravoltaMason Goddard; Kristin DavisAmelia Decker; Lukas HaasShawn Goddard; QuavoAnton; Joel CohenVernon Richter; Noel GugliemiHector; Daniel Louis RivasChaz Antonelli,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Survive (2024),90,59,Andreas PietschmannTom; Émilie DequenneJulia; Lucas EbelBen; Arben BajraktarajL'homme au harpon; Lisa DelamarCassie; Olivier Ho Hio HenNao; ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
How the Grinch Stole Christmas (2000),104,68, Grinch; Taylor MomsenCindy Lou Who; Jeffrey TamborMayor Augustus Maywho; Christine BaranskiMartha May Whovier; Bill IrwinLou Lou Who; Molly ShannonBetty Lou Who; Clint HowardWhobris,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
The Count of Monte Cristo (2024),178,82,Pierre NineyEdmond Dantès / The Count of Monte Cristo / Lord Halifax; Bastien BouillonFernand de Morcerf; Anaïs DemoustierMercédès Herrera; Anamaria VartolomeiHaydée; Laurent LafitteGérard de Villefort; Pierfrancesco FavinoAbbé Faria; Patrick MilleDanglars,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Wake Up (2024),80,74,Turlough ConveryKevin; Benny O. ArthurEthan; Alessia Yoko FontanaGrace; Jacqueline MoréYasmin; Kyle ScudderTyler; Thomas GouldKarim; Charlotte StoiberEmily,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Dear Santa (2024),108,66,Robert Timothy SmithLiam Turner; Satan; Keegan-Michael KeyDr. Finkleman; Brianne HoweyMolly Turner; Hayes MacArthurBill Turner; P.J. ByrneMr. Charles; Jaden Carson BakerGibby,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Remnant (2024),112,50,Nicole PritchardAnna Symes / Ghostly Figure; Shaun Robert FoleyJohn Barnes; Tsu Shan ChambersDr. Adriana Stone; Remi WebsterSophie Bridges; Megan BellGrace Wheeler; Martin Ashley JonesKevin Bridges; ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Japanese Mom (2017),91,62,Jeon Ji-hakMin-cheol (민철); Choi Min-hoGi-ho; Saki MizumiYuki; Ha RooMinky - Cameo; Ahn So-heeEun-ji; ,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
We Live in Time (2024),108,76, Tobias; Almut; Grace DelaneyElla; Lee BraithwaiteJade; Aoife HindsSkye; Adam JamesSimon Maxson; Douglas HodgeReginald,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dominique (2024),94,76,Oksana OrlanDominique; Sebastián CarvajalJulio; María del RosarioPaulina; Maurice CompteChief Santiago; Chase ColemanJohn; Ski CarrGonzalo; Jose Conejo MartinOfficer Chago,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
My Grandfather's Demons (2022),85,61,Victoria GuerraRosa (voice); António DurãesGrandpa Marcelino (voice); Ana Sofia MartinsLaura (voice); Nuno LopesJoão (voice); João TemperaHugo (voice); Celso BugalloAntónio (voice); Martim BalsaChico (voice),0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Subservience (2024),105,67,Megan FoxAlice; Michele MorroneNick; Madeline ZimaMaggie; Matilda FirthIsla; Andrew WhippMonty; Atanas SrebrevLewis; Kate NicholsLyla,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
OVERLORD: The Sacred Kingdom (2024),134,78,Satoshi HinoAinz Ooal Gown / Momonga (voice); Yumi HaraAlbedo (voice); Masayuki KatouDemiurge (voice); Yoshino AoyamaNeia Baraja (voice); Hitomi NabatameRemedios Custodio (voice); Saori HayamiCalca Bessarez (voice); Haruka TomatsuKelart Custodio (voice),0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
The Grinch (2018),85,69, Grinch (voice); Rashida JonesDonna Lou Who (voice); Bricklebaum (voice); Cameron SeelyCindy Lou Who (voice); Angela LansburyMayor McGerkle (voice); Pharrell WilliamsNarrator (voice); Ramone HamiltonAxl (voice),0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
Battle for the Western Front (2022),90,57,Michael LakeYoung Man; Christopher CordellBench; Sylvain PlasseSylvain - French Farmer; Somerville BlackBethany; Aaron HuggettCEF Officer; Corey ChaineyGerman Soldier; Sam BiskeyJulian SeguinAdam Daniel MezelKyle Naylor,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azrael (2024),86,60,Samara WeavingAzrael; Vic Carmen SonneMiriam; Katariina UntJosefine; Peter ChristoffersenDemian; Nathan Stewart-JarrettKenan; Johhan RosenbergAnton; Eero MilonoffLuther,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bad Boys: Ride or Die (2024),115,75,Will SmithMike Lowrey; Marcus Burnett; Kelly; Alexander LudwigDorn; Paola NuñezRita; Eric DaneMcGrath; Ioan GruffuddLockwood,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
Skin. Like. Sun. (2010),60,65,Wim van DammeHimself; Floor WynsHerself; ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
An Almost Christmas Story (2024),24,76,Cary ChristopherMoon (voice); Estella MadrigalLuna (voice); Jim GaffiganPapa Owl (voice); Mamoudou AthiePelly (voice); Alex Ross PerryDave The Dog (voice); Gianna JosephPeaky (voice); Phil RosenthalPunt (voice),0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Juror #2 (2024),114,70, Justin Kemp; Toni ColletteFaith Killebrew; J.K. SimmonsHarold Chincowski; Chris MessinaEric Resnick; Zoey DeutchAllison Crewson; Cedric YarbroughMarcus; Kiefer SutherlandLarry Lasker,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Whisper of the Witch (2024),90,68,Arthur BeschastnyПол; Maryana SpivakСофия; Sofya ShidlovskayaЯна; Igor GrabuzovНик; Sergey SafronovАртур; Valeria KotДжули; Ilya VinogorskyРон,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SpongeBob Squarepants: Kreepaway Kamp (2024),45,70,Tom KennySpongeBob / Cabin / Clam / Snail / Tall Tail / Vampire Monster / Sea Urchins / Jellyfish / Anchovies (voice); Bill FagerbakkePatrick / Anchovy #2 / Roh / Sea Urchins / Anchovies (voice); Rodger BumpassSquidward / Regigilled / The Creeper / Sea Urchins (voice); Clancy BrownMr. Krabs / Anchovies (voice); Carolyn LawrenceSandy / Rea / Teen Girls / Sea Urchins / Anchovies (voice); Mr. LawrencePlankton / Larry the Lobster / Anchovy #1 / Sea Bunnies / Sea Urchins (voice); Lori AlanPearl / Teen Girls (voice),0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0
Joker: Folie à Deux (2024),138,56,Joaquin PhoenixArthur Fleck; Lee Quinzel; Brendan GleesonJackie Sullivan; Catherine KeenerMaryanne Stewart; Sophie Dumond; Steve CooganPaddy Meyers; Harry LawteyHarvey Dent,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Canary Black (2024),103,64, Avery Graves; Rupert FriendDavid Brooks; Saffron BurrowsElizabeth Mills; Ray StevensonJarvis Hedlund; Goran KostićBreznov; Ben MilesDCIA Nathan Evans; Jaz HutchinsAgent Maxfield,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
The Crow (2024),111,59,Bill SkarsgårdEric; FKA twigsShelly; Danny HustonVincent Roeg; Josette SimonSophia; Laura BirnMarion; Sami BouajilaKronos; Karel DobrýRoman,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
The Lord of the Rings: The War of the Rohirrim (2024),134,69,Brian CoxHelm Hammerhand (voice); Gaia WiseHéra (voice); Luke PasqualinoWulf (voice); Laurence Ubong WilliamsFréaláf Hildeson (voice); Olwyn (voice); Shaun DooleyFreca (voice); Benjamin WainwrightHaleth (voice),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A Nonsense Christmas with Sabrina Carpenter (2024),50,75,Sabrina CarpenterSelf; Chappell RoanSelf; Kali UchisSelf; Shania TwainSelf; Cara DelevingneSelf; Jillian BellSelf; Kyle MooneySelf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Flesh (1991),90,53,Sergio CastellittoPaolo; Francesca DelleraFrancesca; Philippe LéotardNicola; Farid ChopelAldo; Petra ReinhardtGiovanna; Gudrun GundlachNursing woman on the beach; Nicoletta BorisOwner of the Bar,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Aunts (2024),87,70,Ximena SariñanaCamila NuñezDiego KleinRoberto Quijano,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IF (2024),104,72,Cailey FlemingBea; Cal; Dad / Marshmallow (voice); Fiona ShawGrandmother; Steve CarellBlue (voice); Phoebe Waller-BridgeBlossom (voice); Louis Gossett Jr.Lewis (voice),0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Bagman (2024),92,61,Sam ClaflinPatrick McKee; Antonia ThomasKarina; Caréll Vincent RhodenJake McKee; Will DavisBagman; Adelle LeonceAnna; William HopeChief Isaacs; Steven CreeLiam McKee,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Soul Eater (2024),111,62,Virginie LedoyenÉlisabeth Guardiano; Paul HamyFranck De Rolan; Sandrine BonnaireDocteur Carole Marbas; Malik ZidiFabrice Gonnet; Emmanuel LanziLe motard; Christophe FavreHenri Maublanc; Jérémy MargalléM. Vasseur,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Pleasure (2021),108,62,Sofia KappelBella Cherry; Zelda MorrisonJoy; Tee ReelMike; Evelyn ClaireAva; Chris CockBear; Dana DeArmondAshley; Kendra SpadeKimberly,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Haunting Of The Immaculate Nurse (2024),107,58,Paulina GaitánRebeca; Azul GuaitaVanessa; Iazua LariosLuciana; Adriana LlabrésAriana; Patricia Reyes SpíndolaHortensia; Karla GarridoEnfermera Recepcionista; Enoc LeañoDr. Sánchez,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingdom of the Planet of the Apes (2024),145,71,Owen TeagueNoa; Freya AllanNova / Mae; Kevin DurandProximus Caesar; Peter MaconRaka; William H. MacyTrevathan; Eka DarvilleSylva; Travis JefferyAnaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
The Garfield Movie (2024),101,71, Garfield (voice); Samuel L. JacksonVic (voice); Hannah WaddinghamJinx (voice); Ving RhamesOtto (voice); Jon (voice); Cecily StrongMarge Malone (voice); Harvey GuillénOdie (voice),0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
Project Silence (2024),96,71,Lee Sun-kyunCha Jung-won; Ju Ji-hoonJobak; Kim Hee-wonDr. Yang; Moon Sung-keunByung-hak; Ye Su-jeongSoon-ok; Kim Tae-wooJung Hyun-baek; Park Hee-vonMi-ran,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
F Marry Kill (2024),97,67,Lucy HaleEva Vaugh; Virginia GardnerKelly; Brooke NevinValerie; Jedidiah GoodacreKyle; Brendan MoranMitch; Samer SalemNorman; Bethany BrownRobin,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Beetlejuice Beetlejuice (2024),105,71,Michael KeatonBeetlejuice; Lydia; Catherine O'HaraDelia; Astrid; Justin TherouxRory; Jackson; Delores,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
My Hero Academia: You're Next (2024),110,68,Daiki YamashitaIzuku Midoriya (voice); Nobuhiko OkamotoKatsuki Bakugo (voice); Yuki KajiShoto Todoroki (voice); Giulio Gandini (voice); Meru NukumiAnna Scervino (voice); Kenta MiyakeDark Might (voice); Ayane SakuraOchako Uraraka (voice),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Female Teacher: In Front of the Students (1982),69,66,Rushia SantôReiko / Teacher; Rina OkaKumi / Girl Friend of Takuya; Kyôko SagamiSyôko / Teacher; Toshiyuki KitamiAkiyama / Teacher; Toru NakaneTakuya / High School Boy; Hiromichi HoriTakashi; Masaaki Kishi桑田,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
365 Days: This Day (2022),111,59,Anna-Maria SiekluckaLaura Torricelli; Michele MorroneMassimo Torricelli / Adriano Torricelli; Simone SusinnaMarcelo 'Nacho' Matos; Magdalena LamparskaOlga; Otar SaralidzeDomenico; Natasza UrbańskaAnna; Ramón LangaDon Fernando Matos,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
